Gene Symbol,-2,-1,0,1,2,total
ACAP3,2,88,411,77,4,582
ACTRT2,2,88,411,77,4,582
AGRN,2,88,411,77,4,582
ANKRD65,2,88,411,77,4,582
ATAD3A,2,88,411,77,4,582
ATAD3B,2,88,411,77,4,582
ATAD3C,2,88,411,77,4,582
AURKAIP1,2,88,411,77,4,582
B3GALT6,2,88,411,77,4,582
C1orf159,2,88,411,77,4,582
C1orf170,2,88,411,77,4,582
C1orf233,2,88,411,77,4,582
C1orf86,2,88,411,77,4,582
CALML6,2,88,411,77,4,582
CCNL2,2,88,411,77,4,582
CDK11A,2,88,411,77,4,582
CDK11B,2,88,411,77,4,582
CPSF3L,2,88,411,77,4,582
DDX11L1|chr1,2,88,411,77,4,582
DVL1,2,88,411,77,4,582
FAM132A,2,88,411,77,4,582
FAM138A|chr1,2,88,411,77,4,582
FAM138F|chr1,2,88,411,77,4,582
FAM213B,2,88,411,77,4,582
FAM41C,2,88,411,77,4,582
FLJ42875,2,88,411,77,4,582
GABRD,2,88,411,77,4,582
GLTPD1,2,88,411,77,4,582
GNB1,2,88,411,77,4,582
HES4,2,88,411,77,4,582
HES5,2,88,411,77,4,582
ISG15,2,88,411,77,4,582
KIAA1751,2,88,411,77,4,582
KLHL17,2,88,411,77,4,582
LINC00115,2,88,411,77,4,582
LOC100129534,2,88,411,77,4,582
LOC100130417,2,88,411,77,4,582
LOC100132062|chr1,2,88,411,77,4,582
LOC100132287|chr1,2,88,411,77,4,582
LOC100133331|chr1,2,88,411,77,4,582
LOC100133445,2,88,411,77,4,582
LOC100288069,2,88,411,77,4,582
LOC115110,2,88,411,77,4,582
LOC148413,2,88,411,77,4,582
LOC254099,2,88,411,77,4,582
LOC643837,2,88,411,77,4,582
LOC729737,2,88,411,77,4,582
MIB2,2,88,411,77,4,582
MIR200A,2,88,411,77,4,582
MIR200B,2,88,411,77,4,582
MIR4251,2,88,411,77,4,582
MIR429,2,88,411,77,4,582
MMEL1,2,88,411,77,4,582
MMP23A,2,88,411,77,4,582
MMP23B,2,88,411,77,4,582
MORN1,2,88,411,77,4,582
MRPL20,2,88,411,77,4,582
MXRA8,2,88,411,77,4,582
NADK,2,88,411,77,4,582
NOC2L,2,88,411,77,4,582
OR4F16|chr1,2,88,411,77,4,582
OR4F29|chr1,2,88,411,77,4,582
OR4F3|chr1,2,88,411,77,4,582
OR4F5,2,88,411,77,4,582
PANK4,2,88,411,77,4,582
PEX10,2,88,411,77,4,582
PLCH2,2,88,411,77,4,582
PLEKHN1,2,88,411,77,4,582
PRDM16,2,90,411,75,4,582
PRKCZ,2,88,411,77,4,582
PUSL1,2,88,411,77,4,582
RER1,2,88,411,77,4,582
RNF223,2,88,411,77,4,582
SAMD11,2,88,411,77,4,582
SCNN1D,2,88,411,77,4,582
SDF4,2,88,411,77,4,582
SKI,2,88,411,77,4,582
SLC35E2B,2,88,411,77,4,582
SLC35E2,2,88,411,77,4,582
SSU72,2,88,411,77,4,582
TAS1R3,2,88,411,77,4,582
TMEM240,2,88,411,77,4,582
TMEM52,2,88,411,77,4,582
TMEM88B,2,88,411,77,4,582
TNFRSF14,2,88,411,77,4,582
TNFRSF18,2,88,411,77,4,582
TNFRSF4,2,88,411,77,4,582
TTC34,2,88,411,77,4,582
TTLL10,2,88,411,77,4,582
UBE2J2,2,88,411,77,4,582
VWA1,2,88,411,77,4,582
WASH7P,2,88,411,77,4,582
hsa-mir-1302-2,2,88,411,77,4,582
hsa-mir-200a,2,88,411,77,4,582
hsa-mir-200b,2,88,411,77,4,582
hsa-mir-4251,2,88,411,77,4,582
hsa-mir-429,2,88,411,77,4,582
ARHGEF16,1,92,409,76,4,582
MEGF6,1,97,407,74,3,582
MIR551A,1,94,409,75,3,582
hsa-mir-551a,1,94,409,75,3,582
TPRG1L,1,98,406,74,3,582
WRAP73,1,100,405,73,3,582
TP73,1,102,403,73,3,582
TP73-AS1,1,101,406,73,1,582
CCDC27,1,101,406,73,1,582
LOC388588,1,101,406,73,1,582
LRRC47,1,101,406,73,1,582
CEP104,1,104,403,73,1,582
DFFB,1,103,404,73,1,582
C1orf174,1,103,404,73,1,582
LOC100133612,1,102,404,74,1,582
LOC728716,1,102,404,74,1,582
LOC284661,0,115,394,73,0,582
AJAP1,2,114,393,73,0,582
MIR4417,0,125,386,71,0,582
MIR4689,0,129,384,69,0,582
NPHP4,0,132,381,69,0,582
KCNAB2,1,134,380,67,0,582
CHD5,1,134,380,67,0,582
RPL22,1,134,380,67,0,582
RNF207,1,133,381,67,0,582
ICMT,1,133,381,67,0,582
GPR153,1,130,384,67,0,582
HES3,1,130,384,67,0,582
ACOT7,1,132,382,67,0,582
HES2,0,130,384,68,0,582
ESPN,0,133,380,69,0,582
MIR4252,0,129,384,69,0,582
hsa-mir-4252,0,129,384,69,0,582
PLEKHG5,0,132,379,71,0,582
TNFRSF25,0,131,381,70,0,582
NOL9,0,132,378,72,0,582
TAS1R1,0,129,381,72,0,582
ZBTB48,0,129,381,72,0,582
KLHL21,0,129,381,72,0,582
PHF13,0,129,381,72,0,582
THAP3,0,129,381,72,0,582
DNAJC11,0,130,381,71,0,582
CAMTA1,7,140,369,65,1,582
VAMP3,7,134,376,64,1,582
PER3,9,133,375,64,1,582
UTS2,9,132,376,64,1,582
TNFRSF9,12,130,375,65,0,582
PARK7,12,128,377,65,0,582
ERRFI1,12,129,376,65,0,582
SLC45A1,13,121,382,66,0,582
RERE,13,122,379,67,1,582
ENO1,7,122,384,69,0,582
ENO1-AS1,7,122,384,69,0,582
CA6,7,120,387,68,0,582
SLC2A7,7,118,389,68,0,582
SLC2A5,7,118,389,68,0,582
GPR157,7,117,391,67,0,582
MIR34A,7,118,390,67,0,582
hsa-mir-34a,7,118,390,67,0,582
H6PD,6,118,390,67,1,582
SPSB1,5,118,391,67,1,582
SLC25A33,2,116,395,68,1,582
